name,graduation_rate,median_salary,student_faculty_ratio,students_with_aid,out_of_pocket_cost,startclass_rank,acceptance_rate,sat,address_short,tution,num_students,college_id,slug,twitter_id
Augusta University,29%,,12:1,90%,"$12,157 USD",,73.7%,1552,"Augusta, Georgia",1552,"8,333",8910,Augusta-University,
Augustana College,78%,"$47,900 USD",12:1,100%,"$22,715 USD",154,49.3%,,"Rock Island, Illinois",,"2,478",1126,Augustana-College,
Augustana University,66%,"$41,800 USD",10:1,100%,"$19,276 USD",275,65.1%,1732,"Sioux Falls, South Dakota",1732,"1,837",3933,Augustana-University,
Aultman College of Nursing and Health Sciences,,"$54,100 USD",6:1,100%,"$18,862 USD",,86.7%,,"Canton, Ohio",,372,3202,Aultman-College-of-Nursing-and-Health-Sciences,
Aurora University,58%,"$41,100 USD",17:1,100%,"$18,082 USD",,77.2%,1465,"Aurora, Illinois",1465,"5,423",1127,Aurora-University,
Austin College,72%,"$47,800 USD",13:1,99%,"$23,690 USD",162,54.1%,1750,"Sherman, Texas",1750,"1,255",4084,Austin-College,
Austin Graduate School of Theology,,,4:1,,,,,,"Austin, Texas",,,4820,Austin-Graduate-School-of-Theology,
Austin Peay State University,36%,"$34,200 USD",18:1,99%,"$12,081 USD",,87.7%,1650,"Clarksville, Tennessee",1650,"10,099",3965,Austin-Peay-State-University,
Ave Maria University,58%,,15:1,100%,"$18,800 USD",,42.8%,1635,"Ave Maria, Florida",1635,"1,110",6631,Ave-Maria-University,
Averett University,33%,"$42,400 USD",13:1,100%,"$21,302 USD",,61.3%,1357,"Danville, Virginia",1357,878,4351,Averett-University,
Averett University-Non-Traditional Programs,,"$42,400 USD",7:1,,,,55.0%,,"Danville, Virginia",,991,6971,Averett-University-Non-Traditional-Programs,
Avila University,49%,"$41,100 USD",10:1,98%,"$19,539 USD",,50.9%,1425,"Kansas City, Missouri",1425,"1,885",2290,Avila-University,
Azusa Pacific University,65%,"$50,000 USD",11:1,97%,"$28,340 USD",440,80.9%,1597,"Azusa, California",1597,"9,975",232,Azusa-Pacific-University,
Azusa Pacific University College,,"$50,000 USD",17:1,100%,"$14,646 USD",,,,"San Dimas, California",,,8803,Azusa-Pacific-University-College,
Babson College,91%,"$86,700 USD",14:1,53%,"$27,597 USD",51,26.3%,1945,"Wellesley, Massachusetts",1945,"3,057",1880,Babson-College,
Bacone College,3%,"$29,700 USD",15:1,88%,"$22,732 USD",,42.0%,1323,"Muskogee, Oklahoma",1323,839,3426,Bacone-College,
Bainbridge State College,,"$24,300 USD",18:1,96%,"$2,975 USD",,,1382,"Bainbridge, Georgia",1382,,36489,Bainbridge-State-College,
Bais HaMedrash and Mesivta of Baltimore,33%,,10:1,67%,"$10,805 USD",,95.7%,,"Baltimore, Maryland",,58,8859,Bais-HaMedrash-and-Mesivta-of-Baltimore,
Bais Medrash Elyon,25%,,24:1,,,,,,"Brooklym, New York",,,4782,Bais-Medrash-Elyon,
Bais Medrash Toras Chesed,21%,,17:1,46%,"$8,428 USD",,46.4%,,"Lakewood, New Jersey",,104,6944,Bais-Medrash-Toras-Chesed,
Baker College,9%,"$26,400 USD",19:1,95%,"$12,606 USD",,,,"Flint, Michigan",,,2027,Baker-College,
Baker College Center for Graduate Studies,25%,"$26,500 USD",13:1,96%,"$14,033 USD",,,,"Flint, Michigan",,,5563,Baker-College-Center-for-Graduate-Studies,
Baker College of Allen Park,25%,"$26,500 USD",35:1,94%,"$13,540 USD",,,,"Allen Park, Michigan",,,6467,Baker-College-of-Allen-Park,
Baker College of Auburn Hills,8%,"$26,500 USD",22:1,89%,"$12,179 USD",,,,"Auburn Hills, Michigan",,,5385,Baker-College-of-Auburn-Hills,
Baker College of Cadillac,0%,"$26,500 USD",18:1,96%,"$13,313 USD",,,,"Cadillac, Michigan",,,5399,Baker-College-of-Cadillac,
Baker College of Clinton Township,14%,"$26,500 USD",25:1,95%,"$12,876 USD",,,,"Clinton Township, Michigan",,,5386,Baker-College-of-Clinton-Township,
Baker College of Jackson,17%,"$26,500 USD",22:1,95%,"$12,911 USD",,,,"Jackson, Michigan",,,5553,Baker-College-of-Jackson,
Baker College of Muskegon,18%,"$26,500 USD",33:1,96%,"$13,003 USD",,,,"Muskegon, Michigan",,,2096,Baker-College-of-Muskegon,
Baker College of Owosso,11%,"$26,500 USD",27:1,95%,"$12,216 USD",,,,"Owosso, Michigan",,,2026,Baker-College-of-Owosso,
Baker College of Port Huron,32%,"$26,500 USD",19:1,95%,"$12,174 USD",,,,"Port Huron, Michigan",,,5247,Baker-College-of-Port-Huron,
Baker University,52%,"$48,800 USD",12:1,100%,"$20,294 USD",,81.6%,1500,"Baldwin City, Kansas",1500,"2,689",1511,Baker-University,
Baldwin Wallace University,71%,"$44,900 USD",13:1,100%,"$21,465 USD",387,60.2%,1612,"Berea, Ohio",1612,"3,996",3203,Baldwin-Wallace-University,
Ball State University,60%,"$38,800 USD",14:1,89%,"$12,847 USD",474,60.5%,1635,"Muncie, Indiana",1635,"21,196",1321,Ball-State-University,
Baptist Bible College,36%,"$29,100 USD",15:1,99%,"$14,490 USD",,,,"Springfield, Missouri",,,2292,Baptist-Bible-College,
Baptist Health System School of Health Professions,,,14:1,,,,,,"San Antonio, Texas",,,36506,Baptist-Health-System-School-of-Health-Professions,
Baptist Memorial College of Health Sciences,39%,"$54,100 USD",10:1,100%,"$9,096 USD",422,55.4%,1690,"Memphis, Tennessee",1690,"1,079",3966,Baptist-Memorial-College-of-Health-Sciences,
Baptist Missionary Association Theological Seminary,100%,,3:1,,,,,,"Jacksonville, Texas",,,4088,Baptist-Missionary-Association-Theological-Seminary,
Baptist University of the Americas,33%,,9:1,100%,"$11,231 USD",,,,"San Antonio, Texas",,,6488,Baptist-University-of-the-Americas,
Barclay College,50%,"$24,300 USD",11:1,100%,"$17,392 USD",,74.7%,1510,"Haviland, Kansas",1510,273,1534,Barclay-College,
Bard College,74%,"$38,700 USD",10:1,70%,"$25,053 USD",374,32.2%,,"Annandale-On-Hudson, New York",,"2,332",2700,Bard-College,
Bard College at Simon's Rock,,"$33,700 USD",6:1,91%,"$37,618 USD",,89.4%,1922,"Great Barrington, Massachusetts",1922,329,1997,Bard-College-at-Simon-s-Rock,
Barnard College,90%,"$56,800 USD",10:1,56%,"$23,741 USD",52,19.6%,2050,"New York, New York",2050,"2,548",2701,Barnard-College,
Barnes-Jewish College Goldfarb School of Nursing,,"$53,300 USD",14:1,,,,,,"Saint Louis, Missouri",,,2332,Barnes-Jewish-College-Goldfarb-School-of-Nursing,
Barry University,37%,"$44,100 USD",12:1,97%,"$24,660 USD",,55.1%,1402,"Miami, Florida",1402,"7,971",818,Barry-University,
Barton College,48%,"$36,000 USD",11:1,99%,"$21,302 USD",,41.8%,1425,"Wilson, North Carolina",1425,"1,047",3027,Barton-College,
Bastyr University,,"$37,600 USD",9:1,,,,,,"Kenmore, Washington",,,4486,Bastyr-University,
Bates College,93%,"$51,600 USD",10:1,47%,"$24,956 USD",61,21.8%,2032,"Lewiston, Maine",2032,"1,792",1770,Bates-College,
Bauder College,18%,"$24,500 USD",9:1,,,,,,"Atlanta, Georgia",,,994,Bauder-College,
Bay Path University,55%,"$41,100 USD",12:1,98%,"$21,549 USD",,77.3%,1426,"Longmeadow, Massachusetts",1426,"3,107",1883,Bay-Path-University,
Bay State College,38%,"$30,400 USD",15:1,93%,"$27,992 USD",,,,"Boston, Massachusetts",,,1884,Bay-State-College,
Baylor University,75%,"$48,200 USD",15:1,98%,"$34,413 USD",226,43.7%,1815,"Waco, Texas",1815,"16,787",4091,Baylor-University,
Be'er Yaakov Talmudic Seminary,71%,,16:1,100%,"$5,219 USD",,100.0%,,"Spring Valley, New York",,469,8861,Be-er-Yaakov-Talmudic-Seminary,
Beacon College,83%,,11:1,88%,"$38,054 USD",,56.6%,,"Leesburg, Florida",,274,5301,Beacon-College,
Becker College,24%,"$36,800 USD",17:1,100%,"$28,102 USD",,66.9%,1490,"Worcester, Massachusetts",1490,"2,153",1886,Becker-College,
Beckfield College-Florence,9%,"$29,700 USD",11:1,97%,"$26,842 USD",,,,"Florence, Kentucky",,,4810,Beckfield-College-Florence,
Beis Medrash Heichal Dovid,10%,,20:1,63%,"$11,226 USD",,52.4%,,"Far Rockaway, New York",,125,6490,Beis-Medrash-Heichal-Dovid,
Belhaven University,37%,"$36,800 USD",11:1,99%,"$15,527 USD",,50.8%,1561,"Jackson, Mississippi",1561,"4,450",2240,Belhaven-University,
Bellarmine University,66%,"$46,600 USD",12:1,100%,"$24,427 USD",416,83.9%,1646,"Louisville, Kentucky",1646,"3,846",1587,Bellarmine-University,
Bellevue College,,"$42,400 USD",17:1,41%,"$7,330 USD",,,,"Bellevue, Washington",,,4453,Bellevue-College,
Bellevue University,39%,"$52,600 USD",31:1,90%,"$8,727 USD",,,,"Bellevue, Nebraska",,,2453,Bellevue-University,
Bellin College,68%,"$54,900 USD",11:1,38%,"$28,058 USD",,69.0%,,"Green Bay, Wisconsin",,371,4587,Bellin-College,
Belmont Abbey College,38%,"$36,000 USD",15:1,99%,"$24,042 USD",,67.9%,1522,"Belmont, North Carolina",1522,"1,495",3030,Belmont-Abbey-College,
Belmont University,68%,"$41,800 USD",14:1,92%,"$32,672 USD",,80.3%,1717,"Nashville, Tennessee",1717,"7,350",3967,Belmont-University,
Beloit College,78%,"$37,900 USD",11:1,99%,"$27,164 USD",251,68.8%,1845,"Beloit, Wisconsin",1845,"1,358",4588,Beloit-College,
Bemidji State University,46%,"$38,900 USD",21:1,92%,"$13,798 USD",,93.8%,,"Bemidji, Minnesota",,"5,081",2145,Bemidji-State-University,
Benedict College,30%,"$21,400 USD",18:1,99%,"$16,700 USD",,,,"Columbia, South Carolina",,,3873,Benedict-College,
Benedictine College,59%,"$39,600 USD",13:1,100%,"$24,879 USD",,99.1%,1719,"Atchison, Kansas",1719,"2,189",1513,Benedictine-College,
Benedictine University,52%,"$51,000 USD",12:1,97%,"$20,931 USD",,,,"Lisle, Illinois",,,1193,Benedictine-University,
Benjamin Franklin Institute of Technology,,"$37,900 USD",10:1,97%,"$16,430 USD",,,,"Boston, Massachusetts",,,1923,Benjamin-Franklin-Institute-of-Technology,
Bennett College,44%,"$26,900 USD",10:1,99%,"$21,259 USD",,94.9%,1200,"Greensboro, North Carolina",1200,583,3031,Bennett-College,
Bennington College,67%,"$24,600 USD",10:1,97%,"$29,030 USD",,63.1%,1860,"Bennington, Vermont",1860,801,4325,Bennington-College,
Bentley University,87%,"$76,900 USD",12:1,79%,"$33,133 USD",72,42.3%,1835,"Waltham, Massachusetts",1835,"5,552",1887,Bentley-University,
Berea College,62%,"$33,400 USD",10:1,100%,"$3,125 USD",146,36.5%,1712,"Berea, Kentucky",1712,"1,643",1588,Berea-College,
Bergin University of Canine Studies,,,7:1,,,,,,"Rohnert Park, California",,,8639,Bergin-University-of-Canine-Studies,
Berkeley College-New York,29%,"$39,000 USD",23:1,93%,"$27,497 USD",,,,"New York, New York",,,2703,Berkeley-College-New-York,
Berkeley College-Woodland Park,31%,"$37,000 USD",15:1,99%,"$27,556 USD",,,,"Woodland Park, New Jersey",,,2554,Berkeley-College-Woodland-Park,
Berklee College of Music,50%,"$30,100 USD",11:1,68%,"$42,338 USD",,28.8%,,"Boston, Massachusetts",,"5,289",1888,Berklee-College-of-Music,
Berry College,60%,"$38,100 USD",12:1,100%,"$23,404 USD",344,55.4%,1705,"Mount Berry, Georgia",1705,"2,245",997,Berry-College,
Bet Medrash Gadol Ateret Torah,,,25:1,61%,"$6,051 USD",,72.5%,,"Brooklyn, New York",,124,36521,Bet-Medrash-Gadol-Ateret-Torah,
Beth Hamedrash Shaarei Yosher Institute,8%,,9:1,83%,"$10,620 USD",,50.0%,,"Brooklyn, New York",,44,2705,Beth-Hamedrash-Shaarei-Yosher-Institute,
Beth Hatalmud Rabbinical College,12%,,4:1,100%,"$7,089 USD",,,,"Brooklyn, New York",,,2704,Beth-Hatalmud-Rabbinical-College,
Beth Medrash Govoha,,"$26,000 USD",22:1,,,,,,"Lakewood, New Jersey",,,2555,Beth-Medrash-Govoha,
Beth Medrash Meor Yitzchok,40%,,14:1,95%,"$12,182 USD",,49.5%,,"Monsey, New York",,162,36526,Beth-Medrash-Meor-Yitzchok,
Bethany College,48%,"$39,800 USD",11:1,98%,"$18,454 USD",,70.2%,1310,"Bethany, West Virginia",1310,737,4536,Bethany-College,
Bethany College-Lindsborg,39%,"$38,100 USD",13:1,99%,"$19,827 USD",,99.3%,1360,"Lindsborg, Kansas",1360,699,1514,Bethany-College-Lindsborg,
Bethany Global University,25%,,19:1,100%,"$10,572 USD",,64.5%,,"Bloomington, Minnesota",,179,36528,Bethany-Global-University,
Bethany Lutheran College,49%,"$34,200 USD",9:1,99%,"$17,066 USD",,85.3%,1850,"Mankato, Minnesota",1850,524,2146,Bethany-Lutheran-College,
Bethel College,0%,,8:1,83%,"$16,126 USD",,,,"Hampton, Virginia",,,8337,Bethel-College,
Bethel College-Indiana,65%,"$34,900 USD",12:1,100%,"$18,079 USD",459,66.5%,1480,"Mishawaka, Indiana",1480,"1,719",1322,Bethel-College-Indiana,
Bethel College-North Newton,53%,"$37,900 USD",10:1,100%,"$19,861 USD",,53.2%,1247,"North Newton, Kansas",1247,525,1515,Bethel-College-North-Newton,
Bethel University-Mckenzie,30%,"$36,200 USD",17:1,99%,"$17,662 USD",,84.0%,1360,"Mckenzie, Tennessee",1360,"5,951",3968,Bethel-University-Mckenzie,
Bethel University-Saint Paul,71%,"$45,000 USD",12:1,100%,"$27,963 USD",338,94.9%,1758,"Saint Paul, Minnesota",1758,"3,952",2147,Bethel-University-Saint-Paul,
Bethesda University,78%,,10:1,70%,"$11,810 USD",,,,"Anaheim, California",,,238,Bethesda-University,
Bethlehem College & Seminary,,,15:1,11%,,,78.8%,1615,"Minneapolis, Minnesota",1615,191,36524,Bethlehem-College-And-Seminary,
Bethune-Cookman University,38%,"$29,400 USD",16:1,99%,"$16,645 USD",,,1190,"Daytona Beach, Florida",1190,,820,Bethune-Cookman-University,
Beulah Heights University,41%,"$27,900 USD",13:1,92%,"$14,360 USD",,,,"Atlanta, Georgia",,,998,Beulah-Heights-University,
Biola University,68%,"$40,500 USD",15:1,95%,"$32,607 USD",,69.9%,1660,"La Mirada, California",1660,"6,227",239,Biola-University,
Birmingham Southern College,62%,"$44,200 USD",13:1,100%,"$23,036 USD",278,53.1%,1635,"Birmingham, Alabama",1635,"1,346",13,Birmingham-Southern-College,
Birthingway College of Midwifery,,,4:1,,,,,,"Portland, Oregon",,,6372,Birthingway-College-of-Midwifery,
Bismarck State College,,"$38,400 USD",14:1,81%,"$9,332 USD",,,,"Bismarck, North Dakota",,,3157,Bismarck-State-College,
Black Hills State University,31%,"$34,400 USD",19:1,91%,"$14,091 USD",,84.0%,1433,"Spearfish, South Dakota",1433,"4,395",3935,Black-Hills-State-University,
Blackburn College,45%,"$37,100 USD",13:1,100%,"$14,593 USD",,55.5%,1357,"Carlinville, Illinois",1357,585,1132,Blackburn-College,
Blessing Rieman College of Nursing,55%,"$44,400 USD",10:1,,,,,,"Quincy, Illinois",,,1133,Blessing-Rieman-College-of-Nursing,
Bloomfield College,35%,"$36,100 USD",16:1,99%,"$19,145 USD",,59.7%,1290,"Bloomfield, New Jersey",1290,"1,980",2556,Bloomfield-College,
Bloomsburg University of Pennsylvania,62%,"$43,900 USD",21:1,88%,"$16,031 USD",,87.7%,1450,"Bloomsburg, Pennsylvania",1450,"9,737",3582,Bloomsburg-University-of-Pennsylvania,
Blue Mountain College,51%,"$29,200 USD",11:1,100%,"$11,182 USD",,99.2%,,"Blue Mountain, Mississippi",,483,2241,Blue-Mountain-College,
Bluefield College,45%,"$40,000 USD",16:1,100%,"$19,617 USD",,93.3%,1379,"Bluefield, Virginia",1379,976,4353,Bluefield-College,
Bluefield State College,18%,"$28,300 USD",14:1,95%,"$8,531 USD",,76.9%,1447,"Bluefield, West Virginia",1447,"1,486",4537,Bluefield-State-College,
Bluffton University,60%,"$37,600 USD",12:1,100%,"$21,356 USD",,53.6%,1475,"Bluffton, Ohio",1475,"1,011",3206,Bluffton-University,
Bob Jones University,61%,,12:1,99%,"$13,364 USD",,82.0%,1542,"Greenville, South Carolina",1542,"3,005",3874,Bob-Jones-University,
Boise Bible College,42%,"$25,500 USD",11:1,100%,"$21,988 USD",,98.1%,1515,"Boise, Idaho",1515,150,1104,Boise-Bible-College,
Boise State University,38%,"$35,600 USD",17:1,84%,"$11,571 USD",,79.6%,1525,"Boise, Idaho",1525,"22,086",1105,Boise-State-University,
Bon Secours Memorial College of Nursing,,"$60,900 USD",8:1,,,,,1485,"Richmond, Virginia",1485,,4416,Bon-Secours-Memorial-College-of-Nursing,
Boricua College,34%,"$31,300 USD",20:1,100%,"$17,356 USD",,,,"New York, New York",,,2708,Boricua-College,
Boston Architectural College,7%,"$43,300 USD",7:1,50%,"$34,389 USD",,,,"Boston, Massachusetts",,,1891,Boston-Architectural-College,
Boston Baptist College,33%,,8:1,100%,"$23,909 USD",,92.3%,1510,"Boston, Massachusetts",1510,85,1882,Boston-Baptist-College,
Boston College,91%,"$66,700 USD",14:1,55%,"$26,284 USD",36,28.5%,2050,"Chestnut Hill, Massachusetts",2050,"14,354",1893,Boston-College,
Boston University,84%,"$59,500 USD",12:1,57%,"$32,732 USD",91,32.6%,1950,"Boston, Massachusetts",1950,"32,158",1895,Boston-University,
Bowdoin College,93%,"$55,300 USD",9:1,47%,"$23,156 USD",48,14.9%,2165,"Brunswick, Maine",2165,"1,799",1772,Bowdoin-College,
Bowie State University,35%,"$46,800 USD",16:1,92%,"$12,248 USD",,57.5%,1315,"Bowie, Maryland",1315,"5,430",1813,Bowie-State-University,
Bowling Green State University-Main Campus,54%,"$38,800 USD",20:1,96%,"$17,516 USD",,72.7%,1537,"Bowling Green, Ohio",1537,"16,908",3209,Bowling-Green-State-University-Main-Campus,
Bradley University,76%,"$51,400 USD",12:1,99%,"$27,211 USD",217,65.7%,1717,"Peoria, Illinois",1717,"5,338",1135,Bradley-University,
Brandeis University,90%,"$56,800 USD",10:1,63%,"$30,383 USD",59,34.0%,2035,"Waltham, Massachusetts",2035,"5,752",1896,Brandeis-University,
Brandman University,,,16:1,10%,"$12,504 USD",,74.5%,,"Irvine, California",,"8,004",4896,Brandman-University,
Brazosport College,,"$30,100 USD",16:1,62%,"$4,752 USD",,,,"Lake Jackson, Texas",,,4096,Brazosport-College,
Brenau University,45%,"$42,000 USD",11:1,98%,"$20,011 USD",,65.6%,1475,"Gainesville, Georgia",1475,"2,883",999,Brenau-University,
Brescia University,30%,"$37,500 USD",13:1,99%,"$11,165 USD",,47.9%,1394,"Owensboro, Kentucky",1394,"1,060",1591,Brescia-University,
Brevard College,41%,"$28,800 USD",11:1,100%,"$18,679 USD",,41.1%,1425,"Brevard, North Carolina",1425,729,3034,Brevard-College,
Brewton-Parker College,15%,"$32,200 USD",13:1,100%,"$16,728 USD",,,1325,"Mount Vernon, Georgia",1325,,1000,Brewton-Parker-College,
Briar Cliff University,45%,"$38,100 USD",13:1,99%,"$18,138 USD",,,1477,"Sioux City, Iowa",1477,,1428,Briar-Cliff-University,
Bridgewater College,60%,"$40,800 USD",14:1,100%,"$20,058 USD",315,49.3%,1512,"Bridgewater, Virginia",1512,"1,834",4355,Bridgewater-College,
Bridgewater State University,58%,"$42,300 USD",19:1,80%,"$15,313 USD",,80.7%,1492,"Bridgewater, Massachusetts",1492,"11,089",1897,Bridgewater-State-University,
Brigham Young University-Hawaii,45%,"$41,500 USD",15:1,85%,"$10,695 USD",,35.6%,1597,"Laie, Hawaii",1597,"2,718",4295,Brigham-Young-University-Hawaii,
Brigham Young University-Idaho,54%,"$38,800 USD",25:1,62%,"$8,624 USD",,99.6%,1522,"Rexburg, Idaho",1522,"43,803",1118,Brigham-Young-University-Idaho,
Brigham Young University-Provo,78%,"$57,200 USD",20:1,70%,"$12,900 USD",153,48.0%,1860,"Provo, Utah",1860,"33,469",4294,Brigham-Young-University-Provo,
Bristol University,,,15:1,100%,"$15,555 USD",,46.2%,,"Anaheim, California",,249,5358,Bristol-University,
Broadview Entertainment Arts University,,"$25,500 USD",12:1,100%,"$17,366 USD",,,,"Salt Lake City, Utah",,,8419,Broadview-Entertainment-Arts-University,
Broadview University-Boise,,"$25,500 USD",7:1,100%,"$18,535 USD",,,,"Meridian, Idaho",,,8746,Broadview-University-Boise,
Broadview University-Layton,,"$25,500 USD",8:1,100%,"$16,005 USD",,,,"Layton, Utah",,,7007,Broadview-University-Layton,
Broadview University-Orem,,"$25,500 USD",9:1,100%,"$17,059 USD",,,,"Orem, Utah",,,7611,Broadview-University-Orem,
Broadview University-West Jordan,0%,"$25,500 USD",11:1,100%,"$20,263 USD",,,,"West Jordan, Utah",,,4296,Broadview-University-West-Jordan,
Brookline College-Albuquerque,,"$22,200 USD",16:1,88%,"$14,310 USD",,,,"Albuquerque, New Mexico",,,6461,Brookline-College-Albuquerque,
Brookline College-Phoenix,43%,"$22,200 USD",35:1,92%,"$28,032 USD",,,,"Phoenix, Arizona",,,85,Brookline-College-Phoenix,
Brookline College-Tucson,,"$22,200 USD",19:1,90%,"$24,044 USD",,,,"Tucson, Arizona",,,6068,Brookline-College-Tucson,
Brooks Institute,37%,"$28,800 USD",10:1,55%,"$25,508 USD",,97.5%,,"Ventura, California",,371,241,Brooks-Institute,
